Disease,Train Samples,Test Samples,AUC-ROC,Avg Precision,F1 (t=0.5),Optimal Threshold
Edema,1590,348,0.8592,0.1695,0.2143,0.375
Emphysema,1796,350,0.8319,0.2573,0.2945,0.317
Cardiomegaly,1905,357,0.8211,0.1898,0.1914,0.367
Pneumothorax,3779,682,0.8058,0.2815,0.294,0.422
Effusion,9362,1774,0.7934,0.45,0.462,0.569
Hernia,142,52,0.7918,0.0286,0.023,0.035
Fibrosis,1170,250,0.7498,0.0714,0.1181,0.236
Atelectasis,8049,1635,0.7474,0.3538,0.4095,0.526
Mass,3960,906,0.7332,0.2621,0.2999,0.421
Pleural_Thickening,2426,477,0.7098,0.1198,0.167,0.384
Consolidation,3283,586,0.7063,0.1118,0.1749,0.5
Nodule,4500,934,0.6778,0.1894,0.2478,0.448
Pneumonia,990,216,0.6749,0.0405,0.0571,0.253
Infiltration,13921,2882,0.6602,0.4211,0.4651,0.483
